seg_id,code_v6,v6_evidence,v6_confidence,v6_flag
V9-05993,SYS.design,prioritise the development of the e-HKD for financial institutions in wholesale scenarios,0.82,
V9-05995,OTHER.keep,regularly review the decision to proceed with such an extension,0.65,
V9-06006,INTEROP.crossborder,require efficient foreign exchange (FX) channels to convert their domestic currencies into an e-HKD,0.88,
V9-06016,INTEROP.domestic,same e-HKD account balance will appear across different banking applications,0.78,
V9-06034,SYS.design,enabling transactions using an e-HKD and tokenised deposits,0.75,
V9-06065,SYS.design,"issuance of an e-HKD, modelled after the issuance of legal tender, must be fully backed",0.85,
V9-06073,SYS.design,prioritise the development of the e-HKD for financial institutions,0.75,
V9-06078,OTHER.keep,"advancing the policy, legal and technical frameworks necessary to ensure Hong Kong is well-prepared",0.6,
V9-06093,INTEROP.domestic,Near-instant conversion at a low cost between an e-HKD and traditional forms of money,0.85,
V9-06103,SYS.design,Wholesale CBDC is not intended for the general public and would only be available to banks,0.87,
V9-06107,OTHER.keep,"whether other measures, such as different forms of regulation and the development of other payment systems",0.65,
V9-06109,SYS.design,Both retail and wholesale CBDCs are being examined,0.78,
V9-06121,ADOPT.experience,"secure, user-friendly, and integration-ready digital currency solution that supports a wide range of payment flows",0.82,
V9-06123,CASH.relation,supplement cash and noncash forms of hryvnia,0.82,
V9-06126,SYS.design,e-hryvnia in the circulation of virtual assets,0.65,
V9-06127,OTHER.keep,strengthen monetary sovereignty of Ukraine and the NBU's capability,0.72,
